Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,1.0,1.0,1.0,1.0,0.9998961324760838,0.9998108751094612,0.9998544088392332,0.9998326402509599,4.096379619692116e-05,6.290372771933995e-05,295,453,7201481
RF,0.999999962109222,0.9999999015040528,0.9999999765426668,0.9999999390233547,0.9998600287913,0.999711640012615,0.9998372857998088,0.9997744485497759,3.8325450001187256e-05,0.00010164575869880099,276,732,7201481
XGB,1.0,1.0,1.0,1.0,0.9999079356038015,0.9998258962292286,0.9998774230362628,0.9998516572185456,3.3048757609719445e-05,5.9015638588784726e-05,238,425,7201481
