Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,1.0,1.0,1.0,1.0,0.9999282755021864,0.9994449042299048,0.999108617505906,0.9992767011226836,2.7065848231503943e-05,4.465864958198151e-05,200,330,7389386
RF,1.0,1.0,1.0,1.0,0.9999936395256656,0.9999734133820712,0.999898275803914,0.9999358416144508,1.2179631704176775e-06,5.142511163985749e-06,9,38,7389386
XGB,0.9999999630732264,0.999999981054611,0.9999992742863696,0.9999996276702268,0.9999937748549068,0.9999605253676422,0.999913886720625,0.9999372048965636,1.894609376205276e-06,4.330535717040631e-06,14,32,7389386
