Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,1.0,1.0,1.0,1.0,0.9997554345350842,0.9960445426750485,0.9951390937821111,0.9955881686545295,0.0001063851179078808,0.00013818034700797442,619,804,5818483
RF,0.9999999530853314,0.9999999672472549,0.9999999630788624,0.9999999651630515,0.9993929689233431,0.9936302811025867,0.9884019176932202,0.9908419798778917,0.00033891995559667354,0.00026811112106024887,1972,1560,5818483
XGB,1.0,1.0,1.0,1.0,0.9999070204381452,0.9979507154430202,0.9983356071165507,0.9981405754091889,5.104423266339354e-05,4.1935329191474824e-05,297,244,5818483
