Model,Accuracy Training,Recall Training,Precision Training,F1 Training,Accuracy Testing,Recall Testing,Precision Testing,F1 Testing,FU_rate,FL_rate,FU,FL,Total rows
DT,1.0,1.0,1.0,1.0,0.9998546635642278,0.9984594294174748,0.9988495485636564,0.9986543271196864,8.315268713331473e-05,6.218374863882667e-05,115,86,1382998
RF,1.0,1.0,1.0,1.0,0.9998459867620922,0.9986089953079976,0.999029846255271,0.9988192216305788,7.230668446375193e-05,8.170655344403968e-05,100,113,1382998
XGB,1.0,1.0,1.0,1.0,0.9999486622540308,0.999352410330381,0.9998048119667192,0.9995783956679554,3.326107485332589e-05,1.8076671115937984e-05,46,25,1382998
